,age,length_of_service,clusters
0,52,17,1
1,53,18,1
2,54,19,1
3,55,20,1
4,56,21,1
5,57,22,1
6,58,23,1
7,59,24,1
8,60,25,1
9,61,26,1
10,49,17,1
11,50,18,1
12,51,19,1
13,52,20,1
14,53,21,1
15,54,22,1
16,55,23,1
17,56,24,1
18,57,25,1
19,58,26,1
20,51,17,1
21,52,18,1
22,53,19,1
23,54,20,1
24,55,21,1
25,56,22,1
26,57,23,1
27,58,24,1
28,59,25,1
29,60,26,1
30,47,17,0
31,48,18,1
32,49,19,1
33,50,20,1
34,51,21,1
35,52,22,1
36,53,23,1
37,54,24,1
38,55,25,1
39,56,26,1
40,48,17,1
41,49,18,1
42,50,19,1
43,51,20,1
44,52,21,1
45,53,22,1
46,54,23,1
47,55,24,1
48,56,25,1
49,57,26,1
50,44,17,0
51,45,18,0
52,46,19,0
53,47,20,1
54,48,21,1
55,49,22,1
56,50,23,1
57,51,24,1
58,52,25,1
59,53,26,1
60,42,17,0
61,43,18,0
62,44,19,0
63,45,20,0
64,46,21,1
65,47,22,1
66,48,23,1
67,49,24,1
68,50,25,1
69,51,26,1
70,50,17,1
71,51,18,1
72,52,19,1
73,53,20,1
74,54,21,1
75,55,22,1
76,56,23,1
77,57,24,1
78,58,25,1
79,59,26,1
80,39,17,0
81,40,18,0
82,41,19,0
83,42,20,0
84,43,21,0
85,44,22,0
86,45,23,1
87,46,24,1
88,47,25,1
89,48,26,1
90,39,17,0
91,40,18,0
92,41,19,0
93,42,20,0
94,43,21,0
95,44,22,0
96,45,23,1
97,46,24,1
98,47,25,1
99,48,26,1
100,41,17,0
101,42,18,0
102,43,19,0
103,44,20,0
104,45,21,0
105,46,22,1
106,47,23,1
107,48,24,1
108,49,25,1
109,50,26,1
110,51,17,1
111,52,18,1
112,53,19,1
113,54,20,1
114,55,21,1
115,56,22,1
116,57,23,1
117,58,24,1
118,59,25,1
119,60,26,1
120,45,17,0
121,46,18,0
122,47,19,1
123,48,20,1
124,49,21,1
125,50,22,1
126,51,23,1
127,52,24,1
128,53,25,1
129,54,26,1
130,44,17,0
131,45,18,0
132,46,19,0
133,47,20,1
134,48,21,1
135,49,22,1
136,50,23,1
137,51,24,1
138,52,25,1
139,53,26,1
140,57,17,1
141,58,18,1
142,59,19,1
143,57,17,1
144,58,18,1
145,59,19,1
146,60,20,1
147,61,21,1
148,62,22,1
149,63,23,1
150,64,24,1
151,57,17,1
152,58,18,1
153,59,19,1
154,57,17,1
155,58,18,1
156,59,19,1
157,57,17,1
158,58,18,1
159,59,19,1
160,60,20,1
161,61,21,1
162,62,22,1
163,63,23,1
164,64,24,1
165,57,17,1
166,58,18,1
167,59,19,1
168,60,20,1
169,61,21,1
170,62,22,1
171,63,23,1
172,64,24,1
173,57,17,1
174,58,18,1
175,59,19,1
176,60,20,1
177,61,21,1
178,62,22,1
179,63,23,1
180,64,24,1
181,57,17,1
182,58,18,1
183,59,19,1
184,57,17,1
185,58,18,1
186,59,19,1
187,57,17,1
188,58,18,1
189,59,19,1
190,60,20,1
191,61,21,1
192,62,22,1
193,63,23,1
194,64,24,1
195,57,17,1
196,58,18,1
197,59,19,1
198,57,17,1
199,58,18,1
200,59,19,1
201,57,17,1
202,58,18,1
203,59,19,1
204,57,17,1
205,58,18,1
206,59,19,1
207,57,17,1
208,58,18,1
209,59,19,1
210,60,20,1
211,61,21,1
212,62,22,1
213,63,23,1
214,64,24,1
215,57,17,1
216,58,18,1
217,59,19,1
218,60,20,1
219,61,21,1
220,62,22,1
221,63,23,1
222,64,24,1
223,57,17,1
224,58,18,1
225,59,19,1
226,60,20,1
227,61,21,1
228,62,22,1
229,63,23,1
230,64,24,1
231,57,17,1
232,58,18,1
233,59,19,1
234,57,17,1
235,58,18,1
236,59,19,1
237,60,20,1
238,61,21,1
239,62,22,1
240,57,17,1
241,58,18,1
242,59,19,1
243,57,17,1
244,58,18,1
245,59,19,1
246,57,17,1
247,58,18,1
248,59,19,1
249,60,20,1
250,61,21,1
251,62,22,1
252,63,23,1
253,64,24,1
254,57,17,1
255,58,18,1
256,59,19,1
257,57,17,1
258,58,18,1
259,59,19,1
260,60,20,1
261,61,21,1
262,62,22,1
263,63,23,1
264,64,24,1
265,57,17,1
266,58,18,1
267,59,19,1
268,57,17,1
269,58,18,1
270,59,19,1
271,57,17,1
272,58,18,1
273,59,19,1
274,60,20,1
275,61,21,1
276,62,22,1
277,63,23,1
278,64,24,1
279,57,17,1
280,58,18,1
281,59,19,1
282,60,20,1
283,61,21,1
284,62,22,1
285,63,23,1
286,64,24,1
287,57,17,1
288,58,18,1
289,59,19,1
290,60,20,1
291,61,21,1
292,62,22,1
293,63,23,1
294,64,24,1
295,57,17,1
296,58,18,1
297,59,19,1
298,60,20,1
299,61,21,1
300,62,22,1
301,63,23,1
302,64,24,1
303,57,17,1
304,58,18,1
305,59,19,1
306,57,17,1
307,58,18,1
308,59,19,1
309,57,17,1
310,58,18,1
311,59,19,1
312,57,17,1
313,58,18,1
314,59,19,1
315,57,17,1
316,58,18,1
317,59,19,1
318,57,17,1
319,58,18,1
320,59,19,1
321,60,20,1
322,61,21,1
323,62,22,1
324,63,23,1
325,64,24,1
326,57,17,1
327,58,18,1
328,59,19,1
329,57,17,1
330,58,18,1
331,59,19,1
332,57,17,1
333,58,18,1
334,59,19,1
335,60,20,1
336,61,21,1
337,62,22,1
338,63,23,1
339,64,24,1
340,57,17,1
341,58,18,1
342,59,19,1
343,60,20,1
344,61,21,1
345,62,22,1
346,63,23,1
347,64,24,1
348,57,17,1
349,58,18,1
350,59,19,1
351,57,17,1
352,58,18,1
353,59,19,1
354,60,20,1
355,61,21,1
356,62,22,1
357,63,23,1
358,64,24,1
359,57,17,1
360,58,18,1
361,59,19,1
362,60,20,1
363,61,21,1
364,62,22,1
365,63,23,1
366,64,24,1
367,57,17,1
368,58,18,1
369,59,19,1
370,60,20,1
371,61,21,1
372,62,22,1
373,63,23,1
374,64,24,1
375,57,17,1
376,58,18,1
377,59,19,1
378,60,20,1
379,61,21,1
380,62,22,1
381,63,23,1
382,64,24,1
383,57,17,1
384,58,18,1
385,59,19,1
386,60,20,1
387,61,21,1
388,62,22,1
389,63,23,1
390,64,24,1
391,57,17,1
392,58,18,1
393,59,19,1
394,57,17,1
395,58,18,1
396,59,19,1
397,60,20,1
398,61,21,1
399,62,22,1
400,63,23,1
401,64,24,1
402,57,17,1
403,58,18,1
404,59,19,1
405,57,17,1
406,58,18,1
407,59,19,1
408,57,17,1
409,58,18,1
410,59,19,1
411,60,20,1
412,61,21,1
413,62,22,1
414,63,23,1
415,64,24,1
416,57,17,1
417,58,18,1
418,59,19,1
419,57,17,1
420,58,18,1
421,59,19,1
422,60,20,1
423,61,21,1
424,62,22,1
425,63,23,1
426,64,24,1
427,57,17,1
428,58,18,1
429,59,19,1
430,57,17,1
431,58,18,1
432,59,19,1
433,57,17,1
434,58,18,1
435,59,19,1
436,57,17,1
437,58,18,1
438,59,19,1
439,60,20,1
440,61,21,1
441,62,22,1
442,63,23,1
443,64,24,1
444,57,17,1
445,58,18,1
446,59,19,1
